Sample,Field,HedgeLocation,Root number,Latitude,Longitude
W03,BSSE,1,3,53.86877,-1.326241
W06,BSSE,1,6,53.86877,-1.326242
W08,BSSE,1,8,53.86877,-1.326243
W09,BSSE,2,9,53.868908,-1.326051
W14,BSSE,2,14,53.868908,-1.326052
W17,BSSE,3,17,53.869014,-1.325844
W18,BSSE,3,18,53.869014,-1.325845
W19,BSSE,3,19,53.869014,-1.325846
W22,BSSE,3,22,53.869014,-1.325847
W23,BSSE,3,23,53.869014,-1.325848
W24,BSSE,3,24,53.869014,-1.325849
W25,BSSW,4,25,53.870865,-1.332464
W26,BSSW,4,26,53.870865,-1.332465
W27,BSSW,4,27,53.870865,-1.332466
W28,BSSW,4,28,53.870865,-1.332467
W33,BSSW,5,33,53.87108,-1.332263
W34,BSSW,5,34,53.87108,-1.332264
W35,BSSW,5,35,53.87108,-1.332265
W36,BSSW,5,36,53.87108,-1.332266
W41,BSSW,6,41,53.870754,-1.332559
W42,BSSW,6,42,53.870754,-1.33256
W43,BSSW,6,43,53.870754,-1.332561
W44,BSSW,6,44,53.870754,-1.332562
W50,Copse,7,50,53.873732,-1.335384
W51,Copse,7,51,53.873732,-1.335385
W52,Copse,7,52,53.873732,-1.335386
W53,Copse,7,53,53.873732,-1.335387
W58,Copse,8,58,53.873878,-1.335302
W59,Copse,8,59,53.873878,-1.335303
W60,Copse,8,60,53.873878,-1.335304
W61,Copse,8,61,53.873878,-1.335305
W65,Copse,9,65,53.874033,-1.335211
W66,Copse,9,66,53.874033,-1.335212
W69,Copse,9,69,53.874033,-1.335213
W70,Copse,9,70,53.874033,-1.335214
W73,Hillside,10,73,53.87284,-1.328333
W74,Hillside,10,74,53.87284,-1.328334
W76,Hillside,10,76,53.87284,-1.328335
W77,Hillside,10,77,53.87284,-1.328336
W79,Hillside,10,79,53.87284,-1.328337
W81,Hillside,11,81,53.872873,-1.328524
W83,Hillside,11,83,53.872873,-1.328525
W85,Hillside,11,85,53.872873,-1.328526
W86,Hillside,11,86,53.872873,-1.328527
W87,Hillside,11,87,53.872873,-1.328528
W89,Hillside,12,89,53.872902,-1.328704
W95,Hillside,12,95,53.872902,-1.328705
